nome civil,data de nascimento,partido / UF,naturalidade,endereço parlamentar,telefones,FAX,correio eletrônico
Acir Marcos Gurgacz,25/02/1962,PDT / RO,Cascavel (PR),"Ala Senador TeotÃ´nio Vilela, gab. 19",(61) 3303-3132/1057,(61) 3303-1343,acir@senador.gov.br
AÃ©cio Neves da Cunha,10/03/1960,PSDB / MG,Belo Horizonte (MG),"Anexo I, 11o. andar salas 1 a 6",(61) 3303-6049/6050,(61) 3303-6051,aecio.neves@senador.gov.br
Alfredo Pereira do Nascimento,05/05/1952,PR / AM,Martins (RN),"Ala Senador Ruy Carneiro, gab. 04",(61) 3303-1166,(61) 3303-1167,alfredo.nascimento@senador.gov.br
Aloysio Nunes Ferreira Filho,05/04/1945,PSDB / SP,SÃ£o JosÃ© do Rio Preto (SP),"Anexo I, 9o. andar salas 1 a 6",(61) 3303-6063/6064,(61) 3303-6071,aloysionunes.ferreira@senador.gov.br
Alvaro Fernandes Dias,07/12/1944,PSDB / PR,QuatÃ¡ (SP),"Ala Senador Nilo Coelho, gab. 10",(61) 3303-4059/4060,(61) 3303-2941,alvarodias@senador.gov.br
Ana AmÃ©lia de Lemos,23/03/1945,PP / RS,Lagoa Vermelha (RS),Ala Afonso Arinos gab. 07,(61) 3303 6083/6084,(61) 3303.6091,ana.amelia@senadora.gov.br
Ana Rita Esgario,26/07/1958,PT / ES,ConceiÃ§Ã£o do Castelo (ES),Ala Senador Filinto MÃ¼ller - Gabinete 14,(61) 3303-1129,(61) 3303-1974,ana.rita@senadora.gov.br
Angela Maria Gomes Portela,03/02/1962,PT / RR,CoreaÃº (CE),"Ala Afonso Arinos, gabinete 10",(61) 3303.6103 / 6104 / 6105,(61) 3303.6111,angela.portela@senadora.gov.br
Anibal Diniz,13/12/1962,PT / AC,Campo MourÃ£o (PR),"Ala Senador TeotÃ´nio Vilela, Gabinete 8",(61) 3303-4546 / 3303-4547,(61) 3303-2955,anibal.diniz@senador.gov.br
Antonio Carlos Rodrigues,17/05/1950,PR / SP,SÃ£o Paulo (SP),"Ala Dinarte Mariz, Gab. 01","(061) 3303.6510, 6511 e 6514",(061) 3303.6515,antonio.rodrigues@senador.gov.br
Antonio Carlos Valadares,06/04/1943,PSB / SE,SimÃ£o Dias (SE),Ala Senador TeotÃ´nio Vilela - gab. 12,(61) 3303-2201 a 2206,(61) 3303-1786,antoniocarlosvaladares@senador.gov.br
Armando de Queiroz Monteiro Neto,24/02/1952,PTB / PE,Recife (PE),Ala Afonso Arinos gab. 01,(61) 3303 6124 e 3303 6125,(61) 3303 6132,armando.monteiro@senador.gov.br
AtaÃ­des de Oliveira,18/12/1959,PSDB / TO,Estrela do Norte (GO),"Ala Senador TeotÃ´nio Vilela, gab. 05",(61) 3303-2163/2164,(61) 3303-1848,ataides.oliveira@senador.gov.br
Benedito de Lira,01/05/1942,PP / AL,Junqueiro (AL),Ala TeotÃ´nio Vilela gab. 02,(61) 3303-6144 / 6151,(61) 3303-6152,benedito.lira@senador.gov.br
Blairo Borges Maggi,29/05/1956,PR / MT,Torres (RS),ANEXO 1 -  19Âº ANDAR - SALAS 1 A 6,(61) 3303-6167,(61) 3303-6172,blairomaggi@senador.gov.br
Casildo JoÃ£o Maldaner,02/04/1942,PMDB / SC,Tapera (RS),"Ala TeotÃ´nio Vilela, Gabinete 14",(61) 3303-4206-07,(61) 3303-1822,casildomaldaner@senador.gov.br
CÃ¡ssio Rodrigues da Cunha Lima,05/04/1963,PSDB / PB,Campina Grande (PB),"Anexo I, 10Âº andar",(61) 3303-9808/9806/9809,(61) 3303-9814,cassio@senador.gov.br
CÃ­cero de Lucena Filho,05/08/1957,PSDB / PB,SÃ£o JosÃ© de Piranhas (PB),"Ala Senador Alexandre Costa, gab 21",(61) 3303-5800 5805,(61) 3303-5809,cicero.lucena@senador.gov.br
Ciro Nogueira Lima Filho,21/11/1968,PP / PI,Teresina (PI),Ala TeotÃ´nio Vilela gab. 01,(61) 3303-6185 / 6187,(61) 3303-6192,ciro.nogueira@senador.gov.br
ClÃ©sio Soares de Andrade,12/10/1952,PMDB / MG,Juatuba (MG),Ala Senador Filinto MÃ¼ler - Gabinete 02,(61) 3303-4621 e 3303-5067,3303-2746,clesio.andrade@senador.gov.br
Cristovam Ricardo Cavalcanti Buarque,20/02/1944,PDT / DF,Recife (PE),"Ala TeotÃ´nio Vilela, Gab. 10",(61) 3303-2281,(61) 3303-2874,cristovam@senador.gov.br
Cyro Miranda Gifford JÃºnior,04/02/1946,PSDB / GO,SÃ£o JosÃ© do Rio Preto (SP),Ala Trancredo Neves gabinete nÂº 51,(61) 3303-1962,(61) 3303-1877,cyro.miranda@senador.gov.br
DelcÃ­dio do Amaral Gomez,08/02/1955,PT / MS,CorumbÃ¡ (MS),"Ala Senador Afonso Arinos, gab. 08",(61) 3303-2452 a 3303 2457,(61) 3303-1926,delcidio.amaral@senador.gov.br
Eduardo Alves do Amorim,17/05/1963,PSC / SE,Itabaiana (SE),Ala Teotonio Vilela gab. 24,(61) 3303 6205 a 3303 6211,(61) 3303-6212,eduardo.amorim@senador.gov.br
Carlos Eduardo de Souza Braga,06/12/1960,PMDB / AM,BelÃ©m (PA),"Anexo I, 12Âº andar Salas 1 a 6",(61) 3303-6230,3303-6233,eduardo.braga@senador.gov.br
Eduardo Benedito Lopes,19/09/1964,PRB / RJ, ,"Ala Sen Ruy Carneiro, Gab. 2 Anexo II - Senado Federal, 70165-900 BrasÃ­lia - DF",(61) 3303-5730,(61) 3303-2211,eduardo.lopes@senador.gov.br
Eduardo Matarazzo Suplicy,21/06/1941,PT / SP,SÃ£o Paulo (SP),"Ala Senador Dinarte Mariz, gab. 02",(61) 3303-3213/2817/2818,(61) 3303-2816,eduardo.suplicy@senador.gov.br
EpitÃ¡cio Cafeteira Afonso Pereira,27/06/1924,PTB / MA,JoÃ£o Pessoa (PB),Ala Senador Tancredo Neves - Gab. 56,(61) 3303-1402/4073,(61) 3303-1946,ecafeteira@senador.gov.br
EunÃ­cio Lopes de Oliveira,30/09/1952,PMDB / CE,Lavras da Mangabeira (CE),Ala Teotonio Vilela gab. 07,(61) 3303-6245,(61) 3303-6253,eunicio.oliveira@senador.gov.br
Fernando Affonso Collor de Mello,12/08/1949,PTB / AL,Rio de Janeiro (RJ),"Anexo I, 13Âº andar",(61) 3303-5783/5786,(61) 3303-5789,fernando.collor@senador.gov.br
Fernando de Souza Flexa Ribeiro,12/09/1945,PSDB / PA,BelÃ©m (PA),"Ala Alexandre Costa, Gabinete NÂº 1",(61) 3303-2342,(61) 3303-2731,flexaribeiro@senador.gov.br
