NOME,ESTADO,PARTIDO,SETOR,ENDEREÇO,TELEFONE,FAX
ACIR GURGACZ,RO,PDT,Escritório de Apoio do Senador Acir Gurgacz,"AVENIDA JI-PARANÁ, 417. URUPÁ, JI-PARANÁ, RO. CEP:76900-239",6934210912,
AECIO NEVES,MG,PSDB,Escritório de Apoio do Senador Aécio Neves,"RUA PARAÍBA, 1000. CONJUNTO 901. FUNCIONÁRIOS, BELO HORIZONTE, MG. CEP:30130-141",3132610121,3132610121
ALFREDO NASCIMENTO,AM,PR,Escritório de Apoio do Senador Alfredo Nascimento,"RUA C/E, CASA, 5. PARQUE MORADA DO SOL. DO ALEIXO, MANAUS, AM. CEP:69060-088",,
ALOYSIO NUNES,SP,PSDB,Escritório de Apoio 1 do Senador Aloysio Nunes,"AVENIDA PAULISTA, 967. 12º ANDAR. SÃO PAULO, SP. CEP:01311-100",,
ALVARO DIAS,PR,PSDB,Escritorio de Apoio do Senador Alvaro Dias,"RUA COMENDADOR ARAÚJO, 510. CJ. 503. CURITIBA, PR. CEP:80420-000",4133114059,
ANA AMÉLIA,RS,PP,Escritório de Apoio 1 da Senadora Ana Amélia,"RUA GENERAL CAMARA, 432. SALA 503. CENTRO, PORTO ALEGRE, RS. CEP:90010-230",,
ANA RITA,ES,PT,Escritório de Apoio da Senadora Ana Rita,"RUA DESEMBARGADOR FERREIRA COELHO, 113. PRAIA DO SUÁ, VITÓRIA, ES. CEP:29052-210",2799430143,
ANGELA PORTELA,RR,PT,Escritório de Apoio da Senadora Ângela Portela,"AVENIDA SANTOS DUMONT, 238. 31 DE MARÇO, BOA VISTA, RR. CEP:69305-340",,
ANIBAL DINIZ,AC,PT,Escritório de Apoio 1 do Senador Aníbal Diniz,"RUA RIO GRANDE DO SUL, 351. CENTRO, RIO BRANCO, AC. CEP:69900-324",,
ANTONIO CARLOS RODRIGUES,SP,PR,Escritório de Apoio 1 do Senador Antonio Carlos Rodrigues,"RUA ARANDU, 57. EDIFÍCIO ITAVERÁ, SALA 33, 3º ANDAR.. BROOKLIN PAULISTA, SÃO PAULO, SP. CEP:04562-910",,
ANTÔNIO CARLOS VALADARES,SE,PSB,Escritorio de Apoio do Senador Antônio Carlos Valadares,"RUA PEDRO PAES AZEVEDO, 194. GALERIA CENTRO SUL - LOJA 101. SALGADO FILHO, ARACAJU, SE. CEP:49020-450",7933112201,
ARMANDO MONTEIRO,PE,PTB,Escritorio de Apoio 1 do Senador Armando Monteiro,"RUA GENERAL JOAQUIM INÁCIO, 412. SALAS 1001 E 1002. ED. JADAN CENTER. ILHA DO LEITE, RECIFE, PE. CEP:50070-270",,
ATAÍDES OLIVEIRA,TO,PSDB,Escritório de Apoio 1 do Senador Ataídes Oliveira,"AVENIDA BERNARDO SAYÃO, 1614. CENTRO. COLINAS DO TOCANTINS, TO. CEP:77760-000",,
