projeto|data|votacao|id-votacao|voto|senador|id-senador
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Acir Marcos Gurgacz"|4981
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Alfredo Pereira do Nascimento"|4527
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Ana Amélia de Lemos"|4988
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Ana Rita Esgario"|4869
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Angela Maria Gomes Portela"|4697
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Anibal Diniz"|4837
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Antonio Carlos Rodrigues"|5150
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Benedito de Lira"|3823
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Cássio Rodrigues da Cunha Lima"|5197
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Clésio Soares de Andrade"|4895
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Cyro Miranda Gifford Júnior"|4877
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Eduardo Alves do Amorim"|4721
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Carlos Eduardo de Souza Braga"|4994
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Eduardo Benedito Lopes"|4767
"PROJETO DE LEI DO SENADO nº 00192, de 2011"|09/04/2013|"Votação da Emenda nº 1 (Substitutivo) ao PLS nº 192 de 2011 - Complementar"|2036330|Sim|"Fernando Affonso Collor de Mello"|4525
